Primary Campus,University,School Name,Course Name,Class Name,
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,School of Computer Science,Master of Data Analytics (Biomedical Data Science),February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Data Analytics (Computational Data Science),February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Data Analytics (Statistical Data Science),February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Information Technology (Business Analysis),February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Information Technology (Business Process Management),February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Information Technology (Computer Science),February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Information Technology (Cyber Security and Networks),February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Information Technology (Data Science),February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Information Technology (Enterprise System),February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Information Technology (Executive IT),February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Information Technology (Software Development),February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,School of Electrical Engineering,Master of Professional Engineering (Electrical),February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,"School of Mechanical, Medical and Process Engineering",Master of Advanced Manufacturing with Project Management,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Engineering Management/Master of Engineering in Mechanical Engineering,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Professional Engineering (Civil),July 2024 Intake (USD),1
,,,,July 2024 Intake (USD) (and Construction),1
,,,,July 2024 Intake (USD) (with Management),1
,,,Master of Professional Engineering (Mechanical),February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,School of Public Health and Social Work,"Master of Health, Safety and Environment",February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,Swinburne University of Technology,"School of Business, Law and Entrepreneurship",Master of Business Administration (MBA),February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Business Information Systems,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Data Science,February 2024 Intake (Hawthorn) (USD),1
,,,,June 2024 Intake (Sydney) (USD),1
,,,,September 2024 Intake (Sydney) (USD),1
,,,Master of Finance,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Financial Technologies,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Human Resource Management,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Marketing,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Professional Accounting,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Professional Accounting (Extended),February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
